 prediced Y:tensor([0.0082], grad_fn=<AddBackward0>), Real Y:tensor([268.7200]) loss=268.7117614746094
 prediced Y:tensor([239.1361], grad_fn=<AddBackward0>), Real Y:tensor([644.0333]) loss=404.897216796875
 prediced Y:tensor([174.5183], grad_fn=<AddBackward0>), Real Y:tensor([604.1234]) loss=429.60504150390625
 prediced Y:tensor([249.1255], grad_fn=<AddBackward0>), Real Y:tensor([773.4633]) loss=524.3378295898438
 prediced Y:tensor([269.5521], grad_fn=<AddBackward0>), Real Y:tensor([783.5167]) loss=513.9645385742188
------------------------------
epoch train loss (root of MSE):551.6653442382812
epoch test loss: 399.6043395996094
 prediced Y:tensor([240.7393], grad_fn=<AddBackward0>), Real Y:tensor([249.7300]) loss=8.990692138671875
 prediced Y:tensor([324.1532], grad_fn=<AddBackward0>), Real Y:tensor([645.5100]) loss=321.3568420410156
 prediced Y:tensor([346.3617], grad_fn=<AddBackward0>), Real Y:tensor([651.6400]) loss=305.2782897949219
 prediced Y:tensor([351.5516], grad_fn=<AddBackward0>), Real Y:tensor([561.9333]) loss=210.38177490234375
 prediced Y:tensor([319.1980], grad_fn=<AddBackward0>), Real Y:tensor([260.6367]) loss=58.561370849609375
 prediced Y:tensor([461.0617], grad_fn=<AddBackward0>), Real Y:tensor([645.3800]) loss=184.31832885742188
 prediced Y:tensor([229.0762], grad_fn=<AddBackward0>), Real Y:tensor([268.7200]) loss=39.643768310546875
 prediced Y:tensor([475.5571], grad_fn=<AddBackward0>), Real Y:tensor([775.8100]) loss=300.2529296875
 prediced Y:tensor([466.7170], grad_fn=<AddBackward0>), Real Y:tensor([783.7833]) loss=317.0662841796875
 prediced Y:tensor([416.9288], grad_fn=<AddBackward0>), Real Y:tensor([580.8766]) loss=163.94781494140625
 prediced Y:tensor([498.4122], grad_fn=<AddBackward0>), Real Y:tensor([561.8467]) loss=63.434478759765625
 prediced Y:tensor([557.0887], grad_fn=<AddBackward0>), Real Y:tensor([690.3900]) loss=133.30126953125
 prediced Y:tensor([625.3727], grad_fn=<AddBackward0>), Real Y:tensor([783.5167]) loss=158.14398193359375
 prediced Y:tensor([664.3925], grad_fn=<AddBackward0>), Real Y:tensor([683.5433]) loss=19.15087890625
 prediced Y:tensor([657.0388], grad_fn=<AddBackward0>), Real Y:tensor([556.6300]) loss=100.4088134765625
 prediced Y:tensor([482.0403], grad_fn=<AddBackward0>), Real Y:tensor([604.7466]) loss=122.70639038085938
 prediced Y:tensor([624.4702], grad_fn=<AddBackward0>), Real Y:tensor([580.6266]) loss=43.843505859375
 prediced Y:tensor([637.9098], grad_fn=<AddBackward0>), Real Y:tensor([712.6367]) loss=74.72686767578125
 prediced Y:tensor([664.6845], grad_fn=<AddBackward0>), Real Y:tensor([576.4100]) loss=88.2745361328125
 prediced Y:tensor([819.4734], grad_fn=<AddBackward0>), Real Y:tensor([561.3333]) loss=258.14007568359375
 prediced Y:tensor([489.7724], grad_fn=<AddBackward0>), Real Y:tensor([612.9700]) loss=123.19754028320312
 prediced Y:tensor([775.4465], grad_fn=<AddBackward0>), Real Y:tensor([683.5200]) loss=91.92645263671875
 prediced Y:tensor([899.3338], grad_fn=<AddBackward0>), Real Y:tensor([644.1600]) loss=255.173828125
 prediced Y:tensor([754.9741], grad_fn=<AddBackward0>), Real Y:tensor([576.2767]) loss=178.6973876953125
 prediced Y:tensor([615.9099], grad_fn=<AddBackward0>), Real Y:tensor([509.3700]) loss=106.5399169921875
 prediced Y:tensor([819.0028], grad_fn=<AddBackward0>), Real Y:tensor([652.3734]) loss=166.62945556640625
 prediced Y:tensor([611.3902], grad_fn=<AddBackward0>), Real Y:tensor([712.9167]) loss=101.5264892578125
 prediced Y:tensor([588.6129], grad_fn=<AddBackward0>), Real Y:tensor([510.8567]) loss=77.75619506835938
 prediced Y:tensor([732.1784], grad_fn=<AddBackward0>), Real Y:tensor([561.9700]) loss=170.20843505859375
 prediced Y:tensor([569.3987], grad_fn=<AddBackward0>), Real Y:tensor([604.1234]) loss=34.724609375
 prediced Y:tensor([808.0937], grad_fn=<AddBackward0>), Real Y:tensor([775.6800]) loss=32.4136962890625
 prediced Y:tensor([500.3459], grad_fn=<AddBackward0>), Real Y:tensor([612.6433]) loss=112.29745483398438
 prediced Y:tensor([578.5972], grad_fn=<AddBackward0>), Real Y:tensor([244.2767]) loss=334.320556640625
 prediced Y:tensor([487.9849], grad_fn=<AddBackward0>), Real Y:tensor([511.1533]) loss=23.16839599609375
 prediced Y:tensor([712.8974], grad_fn=<AddBackward0>), Real Y:tensor([773.4633]) loss=60.56591796875
 prediced Y:tensor([607.1011], grad_fn=<AddBackward0>), Real Y:tensor([690.8734]) loss=83.77227783203125
 prediced Y:tensor([741.0086], grad_fn=<AddBackward0>), Real Y:tensor([651.2000]) loss=89.80859375
 prediced Y:tensor([640.9553], grad_fn=<AddBackward0>), Real Y:tensor([652.4833]) loss=11.528076171875
 prediced Y:tensor([681.1119], grad_fn=<AddBackward0>), Real Y:tensor([556.3400]) loss=124.77191162109375
 prediced Y:tensor([670.4352], grad_fn=<AddBackward0>), Real Y:tensor([555.6334]) loss=114.8018798828125
 prediced Y:tensor([536.3483], grad_fn=<AddBackward0>), Real Y:tensor([509.0333]) loss=27.31494140625
 prediced Y:tensor([458.7487], grad_fn=<AddBackward0>), Real Y:tensor([721.5634]) loss=262.8146057128906
 prediced Y:tensor([397.0386], grad_fn=<AddBackward0>), Real Y:tensor([267.8533]) loss=129.185302734375
 prediced Y:tensor([678.0153], grad_fn=<AddBackward0>), Real Y:tensor([555.1800]) loss=122.8353271484375
 prediced Y:tensor([489.4244], grad_fn=<AddBackward0>), Real Y:tensor([722.0367]) loss=232.61227416992188
 prediced Y:tensor([430.3907], grad_fn=<AddBackward0>), Real Y:tensor([244.4333]) loss=185.9573516845703
 prediced Y:tensor([505.5221], grad_fn=<AddBackward0>), Real Y:tensor([249.4400]) loss=256.0821228027344
 prediced Y:tensor([687.4122], grad_fn=<AddBackward0>), Real Y:tensor([644.0333]) loss=43.37884521484375
------------------------------
epoch train loss (root of MSE):217.34014892578125
epoch test loss: 186.9431915283203
 prediced Y:tensor([558.3707], grad_fn=<AddBackward0>), Real Y:tensor([561.9700]) loss=3.59930419921875
 prediced Y:tensor([466.6526], grad_fn=<AddBackward0>), Real Y:tensor([712.9167]) loss=246.26409912109375
 prediced Y:tensor([590.0760], grad_fn=<AddBackward0>), Real Y:tensor([783.5167]) loss=193.44061279296875
 prediced Y:tensor([589.3713], grad_fn=<AddBackward0>), Real Y:tensor([775.8100]) loss=186.43865966796875
 prediced Y:tensor([350.3947], grad_fn=<AddBackward0>), Real Y:tensor([267.8533]) loss=82.54135131835938
 prediced Y:tensor([635.2703], grad_fn=<AddBackward0>), Real Y:tensor([775.6800]) loss=140.40966796875
 prediced Y:tensor([470.6867], grad_fn=<AddBackward0>), Real Y:tensor([580.8766]) loss=110.18991088867188
 prediced Y:tensor([417.1140], grad_fn=<AddBackward0>), Real Y:tensor([511.1533]) loss=94.03936767578125
 prediced Y:tensor([573.4295], grad_fn=<AddBackward0>), Real Y:tensor([683.5200]) loss=110.09051513671875
 prediced Y:tensor([613.0422], grad_fn=<AddBackward0>), Real Y:tensor([555.6334]) loss=57.4088134765625
 prediced Y:tensor([440.1620], grad_fn=<AddBackward0>), Real Y:tensor([244.2767]) loss=195.88531494140625
 prediced Y:tensor([592.7164], grad_fn=<AddBackward0>), Real Y:tensor([690.3900]) loss=97.67364501953125
 prediced Y:tensor([589.0953], grad_fn=<AddBackward0>), Real Y:tensor([556.6300]) loss=32.46527099609375
 prediced Y:tensor([586.3698], grad_fn=<AddBackward0>), Real Y:tensor([576.2767]) loss=10.0931396484375
 prediced Y:tensor([606.7803], grad_fn=<AddBackward0>), Real Y:tensor([783.7833]) loss=177.0030517578125
 prediced Y:tensor([416.9825], grad_fn=<AddBackward0>), Real Y:tensor([612.9700]) loss=195.9874267578125
 prediced Y:tensor([454.5163], grad_fn=<AddBackward0>), Real Y:tensor([260.6367]) loss=193.87966918945312
 prediced Y:tensor([456.9868], grad_fn=<AddBackward0>), Real Y:tensor([249.7300]) loss=207.25682067871094
 prediced Y:tensor([564.6680], grad_fn=<AddBackward0>), Real Y:tensor([576.4100]) loss=11.74200439453125
 prediced Y:tensor([540.4096], grad_fn=<AddBackward0>), Real Y:tensor([722.0367]) loss=181.6270751953125
 prediced Y:tensor([678.3884], grad_fn=<AddBackward0>), Real Y:tensor([773.4633]) loss=95.074951171875
 prediced Y:tensor([628.9349], grad_fn=<AddBackward0>), Real Y:tensor([652.4833]) loss=23.54840087890625
 prediced Y:tensor([527.3157], grad_fn=<AddBackward0>), Real Y:tensor([604.1234]) loss=76.80767822265625
 prediced Y:tensor([593.7969], grad_fn=<AddBackward0>), Real Y:tensor([561.8467]) loss=31.9501953125
 prediced Y:tensor([497.9760], grad_fn=<AddBackward0>), Real Y:tensor([612.6433]) loss=114.66726684570312
 prediced Y:tensor([604.5907], grad_fn=<AddBackward0>), Real Y:tensor([580.6266]) loss=23.96405029296875
 prediced Y:tensor([649.1063], grad_fn=<AddBackward0>), Real Y:tensor([561.9333]) loss=87.1729736328125
 prediced Y:tensor([627.0206], grad_fn=<AddBackward0>), Real Y:tensor([712.6367]) loss=85.6160888671875
 prediced Y:tensor([718.8064], grad_fn=<AddBackward0>), Real Y:tensor([683.5433]) loss=35.2630615234375
 prediced Y:tensor([512.1819], grad_fn=<AddBackward0>), Real Y:tensor([604.7466]) loss=92.564697265625
 prediced Y:tensor([634.8600], grad_fn=<AddBackward0>), Real Y:tensor([690.8734]) loss=56.0133056640625
 prediced Y:tensor([554.4628], grad_fn=<AddBackward0>), Real Y:tensor([721.5634]) loss=167.10052490234375
 prediced Y:tensor([777.2693], grad_fn=<AddBackward0>), Real Y:tensor([645.3800]) loss=131.88934326171875
 prediced Y:tensor([731.6592], grad_fn=<AddBackward0>), Real Y:tensor([556.3400]) loss=175.3192138671875
 prediced Y:tensor([735.8264], grad_fn=<AddBackward0>), Real Y:tensor([652.3734]) loss=83.4530029296875
 prediced Y:tensor([765.7921], grad_fn=<AddBackward0>), Real Y:tensor([555.1800]) loss=210.612060546875
 prediced Y:tensor([506.1603], grad_fn=<AddBackward0>), Real Y:tensor([249.4400]) loss=256.72027587890625
 prediced Y:tensor([590.6364], grad_fn=<AddBackward0>), Real Y:tensor([509.0333]) loss=81.60308837890625
 prediced Y:tensor([685.8384], grad_fn=<AddBackward0>), Real Y:tensor([645.5100]) loss=40.328369140625
 prediced Y:tensor([671.5963], grad_fn=<AddBackward0>), Real Y:tensor([651.6400]) loss=19.95623779296875
 prediced Y:tensor([742.9204], grad_fn=<AddBackward0>), Real Y:tensor([644.0333]) loss=98.8870849609375
 prediced Y:tensor([691.4326], grad_fn=<AddBackward0>), Real Y:tensor([651.2000]) loss=40.23260498046875
 prediced Y:tensor([668.1298], grad_fn=<AddBackward0>), Real Y:tensor([644.1600]) loss=23.9698486328125
 prediced Y:tensor([495.2987], grad_fn=<AddBackward0>), Real Y:tensor([510.8567]) loss=15.55792236328125
 prediced Y:tensor([613.0283], grad_fn=<AddBackward0>), Real Y:tensor([561.3333]) loss=51.6949462890625
 prediced Y:tensor([340.2241], grad_fn=<AddBackward0>), Real Y:tensor([244.4333]) loss=95.79078674316406
 prediced Y:tensor([463.2371], grad_fn=<AddBackward0>), Real Y:tensor([509.3700]) loss=46.132904052734375
 prediced Y:tensor([245.0388], grad_fn=<AddBackward0>), Real Y:tensor([268.7200]) loss=23.681182861328125
------------------------------
epoch train loss (root of MSE):190.9773406982422
epoch test loss: 187.7556915283203
 prediced Y:tensor([605.6381], grad_fn=<AddBackward0>), Real Y:tensor([555.1800]) loss=50.4581298828125
 prediced Y:tensor([564.8479], grad_fn=<AddBackward0>), Real Y:tensor([651.6400]) loss=86.7921142578125
 prediced Y:tensor([542.5111], grad_fn=<AddBackward0>), Real Y:tensor([576.2767]) loss=33.76556396484375
 prediced Y:tensor([488.4728], grad_fn=<AddBackward0>), Real Y:tensor([712.9167]) loss=224.44384765625
 prediced Y:tensor([436.6353], grad_fn=<AddBackward0>), Real Y:tensor([612.6433]) loss=176.008056640625
 prediced Y:tensor([492.2455], grad_fn=<AddBackward0>), Real Y:tensor([561.8467]) loss=69.6011962890625
 prediced Y:tensor([579.4443], grad_fn=<AddBackward0>), Real Y:tensor([683.5433]) loss=104.09906005859375
 prediced Y:tensor([488.4236], grad_fn=<AddBackward0>), Real Y:tensor([509.0333]) loss=20.60968017578125
 prediced Y:tensor([481.3941], grad_fn=<AddBackward0>), Real Y:tensor([604.1234]) loss=122.729248046875
 prediced Y:tensor([632.8409], grad_fn=<AddBackward0>), Real Y:tensor([775.6800]) loss=142.839111328125
 prediced Y:tensor([586.8436], grad_fn=<AddBackward0>), Real Y:tensor([561.3333]) loss=25.51031494140625
 prediced Y:tensor([508.1690], grad_fn=<AddBackward0>), Real Y:tensor([580.8766]) loss=72.70761108398438
 prediced Y:tensor([576.8948], grad_fn=<AddBackward0>), Real Y:tensor([712.6367]) loss=135.7418212890625
 prediced Y:tensor([407.2210], grad_fn=<AddBackward0>), Real Y:tensor([249.4400]) loss=157.78097534179688
 prediced Y:tensor([371.8541], grad_fn=<AddBackward0>), Real Y:tensor([244.2767]) loss=127.57745361328125
 prediced Y:tensor([522.9501], grad_fn=<AddBackward0>), Real Y:tensor([721.5634]) loss=198.61328125
 prediced Y:tensor([471.1986], grad_fn=<AddBackward0>), Real Y:tensor([511.1533]) loss=39.9547119140625
 prediced Y:tensor([499.5255], grad_fn=<AddBackward0>), Real Y:tensor([604.7466]) loss=105.22116088867188
 prediced Y:tensor([676.0060], grad_fn=<AddBackward0>), Real Y:tensor([773.4633]) loss=97.45733642578125
 prediced Y:tensor([538.7309], grad_fn=<AddBackward0>), Real Y:tensor([510.8567]) loss=27.874237060546875
 prediced Y:tensor([679.9814], grad_fn=<AddBackward0>), Real Y:tensor([775.8100]) loss=95.82861328125
 prediced Y:tensor([681.9454], grad_fn=<AddBackward0>), Real Y:tensor([652.3734]) loss=29.57208251953125
 prediced Y:tensor([363.0017], grad_fn=<AddBackward0>), Real Y:tensor([267.8533]) loss=95.14834594726562
 prediced Y:tensor([634.1261], grad_fn=<AddBackward0>), Real Y:tensor([722.0367]) loss=87.91058349609375
 prediced Y:tensor([724.7543], grad_fn=<AddBackward0>), Real Y:tensor([644.1600]) loss=80.5943603515625
 prediced Y:tensor([697.0491], grad_fn=<AddBackward0>), Real Y:tensor([645.5100]) loss=51.5390625
 prediced Y:tensor([661.1714], grad_fn=<AddBackward0>), Real Y:tensor([580.6266]) loss=80.5447998046875
 prediced Y:tensor([641.9532], grad_fn=<AddBackward0>), Real Y:tensor([690.8734]) loss=48.920166015625
 prediced Y:tensor([686.1001], grad_fn=<AddBackward0>), Real Y:tensor([783.7833]) loss=97.6832275390625
 prediced Y:tensor([655.5260], grad_fn=<AddBackward0>), Real Y:tensor([576.4100]) loss=79.11602783203125
 prediced Y:tensor([659.2458], grad_fn=<AddBackward0>), Real Y:tensor([561.9333]) loss=97.31243896484375
 prediced Y:tensor([715.1120], grad_fn=<AddBackward0>), Real Y:tensor([556.3400]) loss=158.77197265625
 prediced Y:tensor([682.9715], grad_fn=<AddBackward0>), Real Y:tensor([683.5200]) loss=0.54852294921875
 prediced Y:tensor([285.2799], grad_fn=<AddBackward0>), Real Y:tensor([268.7200]) loss=16.55987548828125
 prediced Y:tensor([662.6744], grad_fn=<AddBackward0>), Real Y:tensor([561.9700]) loss=100.7044677734375
 prediced Y:tensor([729.6735], grad_fn=<AddBackward0>), Real Y:tensor([651.2000]) loss=78.47344970703125
 prediced Y:tensor([397.5607], grad_fn=<AddBackward0>), Real Y:tensor([249.7300]) loss=147.83070373535156
 prediced Y:tensor([657.3199], grad_fn=<AddBackward0>), Real Y:tensor([555.6334]) loss=101.68658447265625
 prediced Y:tensor([376.8123], grad_fn=<AddBackward0>), Real Y:tensor([260.6367]) loss=116.17562866210938
 prediced Y:tensor([332.5998], grad_fn=<AddBackward0>), Real Y:tensor([244.4333]) loss=88.16645812988281
 prediced Y:tensor([631.6077], grad_fn=<AddBackward0>), Real Y:tensor([690.3900]) loss=58.7823486328125
 prediced Y:tensor([584.5659], grad_fn=<AddBackward0>), Real Y:tensor([556.6300]) loss=27.9359130859375
 prediced Y:tensor([652.8550], grad_fn=<AddBackward0>), Real Y:tensor([783.5167]) loss=130.66162109375
 prediced Y:tensor([652.8748], grad_fn=<AddBackward0>), Real Y:tensor([645.3800]) loss=7.49481201171875
 prediced Y:tensor([572.9861], grad_fn=<AddBackward0>), Real Y:tensor([652.4833]) loss=79.4971923828125
 prediced Y:tensor([673.0607], grad_fn=<AddBackward0>), Real Y:tensor([644.0333]) loss=29.02740478515625
 prediced Y:tensor([461.8782], grad_fn=<AddBackward0>), Real Y:tensor([612.9700]) loss=151.091796875
 prediced Y:tensor([491.1811], grad_fn=<AddBackward0>), Real Y:tensor([509.3700]) loss=18.188934326171875
------------------------------
epoch train loss (root of MSE):191.45640563964844
epoch test loss: 170.46685791015625
 prediced Y:tensor([590.2598], grad_fn=<AddBackward0>), Real Y:tensor([683.5200]) loss=93.26025390625
 prediced Y:tensor([537.2574], grad_fn=<AddBackward0>), Real Y:tensor([721.5634]) loss=184.305908203125
 prediced Y:tensor([544.2933], grad_fn=<AddBackward0>), Real Y:tensor([604.1234]) loss=59.83001708984375
 prediced Y:tensor([333.1234], grad_fn=<AddBackward0>), Real Y:tensor([260.6367]) loss=72.4866943359375
 prediced Y:tensor([646.1533], grad_fn=<AddBackward0>), Real Y:tensor([775.8100]) loss=129.65673828125
 prediced Y:tensor([622.9246], grad_fn=<AddBackward0>), Real Y:tensor([783.7833]) loss=160.8587646484375
 prediced Y:tensor([646.1184], grad_fn=<AddBackward0>), Real Y:tensor([712.6367]) loss=66.51824951171875
 prediced Y:tensor([326.7937], grad_fn=<AddBackward0>), Real Y:tensor([267.8533]) loss=58.940338134765625
 prediced Y:tensor([629.7715], grad_fn=<AddBackward0>), Real Y:tensor([580.6266]) loss=49.1448974609375
 prediced Y:tensor([589.1799], grad_fn=<AddBackward0>), Real Y:tensor([509.0333]) loss=80.14654541015625
 prediced Y:tensor([709.3704], grad_fn=<AddBackward0>), Real Y:tensor([651.2000]) loss=58.17041015625
 prediced Y:tensor([627.9850], grad_fn=<AddBackward0>), Real Y:tensor([576.4100]) loss=51.5750732421875
 prediced Y:tensor([634.2181], grad_fn=<AddBackward0>), Real Y:tensor([712.9167]) loss=78.69854736328125
 prediced Y:tensor([651.1738], grad_fn=<AddBackward0>), Real Y:tensor([722.0367]) loss=70.86285400390625
 prediced Y:tensor([641.3819], grad_fn=<AddBackward0>), Real Y:tensor([652.4833]) loss=11.1014404296875
 prediced Y:tensor([640.9574], grad_fn=<AddBackward0>), Real Y:tensor([690.8734]) loss=49.91595458984375
 prediced Y:tensor([731.6707], grad_fn=<AddBackward0>), Real Y:tensor([645.3800]) loss=86.29071044921875
 prediced Y:tensor([740.4428], grad_fn=<AddBackward0>), Real Y:tensor([773.4633]) loss=33.0205078125
 prediced Y:tensor([611.4429], grad_fn=<AddBackward0>), Real Y:tensor([561.8467]) loss=49.59619140625
 prediced Y:tensor([400.3623], grad_fn=<AddBackward0>), Real Y:tensor([249.4400]) loss=150.92230224609375
 prediced Y:tensor([775.2952], grad_fn=<AddBackward0>), Real Y:tensor([775.6800]) loss=0.384765625
 prediced Y:tensor([690.7703], grad_fn=<AddBackward0>), Real Y:tensor([556.3400]) loss=134.43023681640625
 prediced Y:tensor([652.0400], grad_fn=<AddBackward0>), Real Y:tensor([561.9700]) loss=90.070068359375
 prediced Y:tensor([630.0748], grad_fn=<AddBackward0>), Real Y:tensor([561.9333]) loss=68.14141845703125
 prediced Y:tensor([663.3630], grad_fn=<AddBackward0>), Real Y:tensor([651.6400]) loss=11.7230224609375
 prediced Y:tensor([591.0677], grad_fn=<AddBackward0>), Real Y:tensor([580.8766]) loss=10.1910400390625
 prediced Y:tensor([679.9573], grad_fn=<AddBackward0>), Real Y:tensor([644.1600]) loss=35.79730224609375
 prediced Y:tensor([657.7820], grad_fn=<AddBackward0>), Real Y:tensor([690.3900]) loss=32.6080322265625
 prediced Y:tensor([649.1076], grad_fn=<AddBackward0>), Real Y:tensor([576.2767]) loss=72.8309326171875
 prediced Y:tensor([642.5451], grad_fn=<AddBackward0>), Real Y:tensor([652.3734]) loss=9.8282470703125
 prediced Y:tensor([623.4100], grad_fn=<AddBackward0>), Real Y:tensor([645.5100]) loss=22.0999755859375
 prediced Y:tensor([276.7307], grad_fn=<AddBackward0>), Real Y:tensor([244.4333]) loss=32.29737854003906
 prediced Y:tensor([575.6776], grad_fn=<AddBackward0>), Real Y:tensor([556.6300]) loss=19.04754638671875
 prediced Y:tensor([516.6907], grad_fn=<AddBackward0>), Real Y:tensor([510.8567]) loss=5.834075927734375
 prediced Y:tensor([226.0769], grad_fn=<AddBackward0>), Real Y:tensor([268.7200]) loss=42.64311218261719
 prediced Y:tensor([512.4365], grad_fn=<AddBackward0>), Real Y:tensor([604.7466]) loss=92.31011962890625
 prediced Y:tensor([646.3368], grad_fn=<AddBackward0>), Real Y:tensor([683.5433]) loss=37.20654296875
 prediced Y:tensor([589.8030], grad_fn=<AddBackward0>), Real Y:tensor([555.6334]) loss=34.16961669921875
 prediced Y:tensor([495.5845], grad_fn=<AddBackward0>), Real Y:tensor([509.3700]) loss=13.7855224609375
 prediced Y:tensor([299.9631], grad_fn=<AddBackward0>), Real Y:tensor([249.7300]) loss=50.23310852050781
 prediced Y:tensor([289.1049], grad_fn=<AddBackward0>), Real Y:tensor([244.2767]) loss=44.8282470703125
 prediced Y:tensor([481.9571], grad_fn=<AddBackward0>), Real Y:tensor([612.9700]) loss=131.01287841796875
 prediced Y:tensor([597.5220], grad_fn=<AddBackward0>), Real Y:tensor([561.3333]) loss=36.18865966796875
 prediced Y:tensor([661.1527], grad_fn=<AddBackward0>), Real Y:tensor([644.0333]) loss=17.119384765625
 prediced Y:tensor([623.0070], grad_fn=<AddBackward0>), Real Y:tensor([555.1800]) loss=67.82696533203125
 prediced Y:tensor([464.8689], grad_fn=<AddBackward0>), Real Y:tensor([511.1533]) loss=46.284393310546875
 prediced Y:tensor([646.0190], grad_fn=<AddBackward0>), Real Y:tensor([783.5167]) loss=137.4976806640625
 prediced Y:tensor([524.5331], grad_fn=<AddBackward0>), Real Y:tensor([612.6433]) loss=88.1102294921875
------------------------------
epoch train loss (root of MSE):199.5028839111328
epoch test loss: 172.06297302246094
 prediced Y:tensor([556.7601], grad_fn=<AddBackward0>), Real Y:tensor([561.9333]) loss=5.1732177734375
